Bedrooms,Carpet_Area,Total_Price,Per_Sqfoot,Location,Aminities
4,939,8451000,9000,Ravet,Sky Infinity Edge Pool
2,1404,12636000,9000,Tathawde,Kids Play Area
3,996,8964000,9000,Chinchwad,Sky Infinity Edge Pool
3,919,8271000,9000,Wakad,Mini Restaurant
3,982,8838000,9000,Wakad,Kids Play Area
3,1121,10089000,9000,Chinchwad,Kids Play Area
3,1259,11331000,9000,Moshi,Captivating Spa
3,1144,9724000,8500,Tathawde,Pet Park
3,1455,13095000,9000,Wakad,Captivating Spa
3,1198,10782000,9000,Tathawde,Private Screening Arena
3,1141,10269000,9000,Wakad,Pet Park
3,1306,11754000,9000,Ravet,Palm Court
3,942,8478000,9000,Moshi,Palm Court
3,943,8487000,9000,Ravet,Sky Infinity Edge Pool
3,1284,11556000,9000,Wakad,Pet Park
3,1435,12915000,9000,Ravet,Kids Play Area
4,1346,12114000,9000,Wakad,Palm Court
3,1133,10197000,9000,Chinchwad,Gymnasium
2,1436,12924000,9000,Ravet,Sky Infinity Edge Pool
3,1268,11412000,9000,Punawale,Kids Play Area
2,946,8514000,9000,Moshi,Private Screening Arena
3,1210,10890000,9000,Ravet,Gymnasium
4,1093,9837000,9000,Tathawde,Gymnasium
4,1406,12654000,9000,Ravet,Pet Park
2,1058,9522000,9000,Ravet,Sky Infinity Edge Pool
4,939,8451000,9000,Moshi,Private Screening Arena
3,1141,10269000,9000,Punawale,Palm Court
4,1419,12771000,9000,Punawale,Pet Park
3,1367,12303000,9000,Wakad,Palm Court
2,797,7173000,9000,Wakad,Pet Park
3,1099,9891000,9000,Tathawde,Pet Park
3,1049,9441000,9000,Chinchwad,Pet Park
4,1447,13023000,9000,Ravet,Sky Infinity Edge Pool
2,1248,11232000,9000,Ravet,Pet Park
3,832,7488000,9000,Tathawde,Mini Restaurant
4,955,8595000,9000,Tathawde,Sky Infinity Edge Pool
4,804,6834000,8500,Ravet,Palm Court
2,1028,9252000,9000,Ravet,Kids Play Area
2,894,8046000,9000,Moshi,Captivating Spa
3,1454,13086000,9000,Tathawde,Private Screening Arena
4,1003,9027000,9000,Tathawde,Sky Infinity Edge Pool
3,926,8334000,9000,Tathawde,Kids Play Area
4,1199,10191500,8500,Chinchwad,Gymnasium
3,947,8523000,9000,Tathawde,Mini Restaurant
3,849,7641000,9000,Ravet,Captivating Spa
2,915,8235000,9000,Chinchwad,Kids Play Area
3,1468,13212000,9000,Ravet,Kids Play Area
3,1423,12807000,9000,Chinchwad,Mini Restaurant
3,1382,12438000,9000,Punawale,Captivating Spa
2,1420,12780000,9000,Tathawde,Gymnasium
4,1215,10935000,9000,Ravet,Pet Park
3,1217,10953000,9000,Moshi,Palm Court
3,899,8091000,9000,Ravet,Gymnasium
4,1049,9441000,9000,Ravet,Pet Park
2,1022,8687000,8500,Chinchwad,Sky Infinity Edge Pool
4,907,8163000,9000,Moshi,Sky Infinity Edge Pool
2,1305,11745000,9000,Ravet,Private Screening Arena
4,1268,11412000,9000,Moshi,Private Screening Arena
2,894,8046000,9000,Ravet,Palm Court
2,948,8532000,9000,Ravet,Captivating Spa
3,1133,10197000,9000,Tathawde,Mini Restaurant
3,958,8622000,9000,Wakad,Captivating Spa
4,1476,13284000,9000,Tathawde,Mini Restaurant
4,956,8604000,9000,Wakad,Captivating Spa
3,1375,12375000,9000,Tathawde,Sky Infinity Edge Pool
2,1193,10737000,9000,Wakad,Sky Infinity Edge Pool
3,1072,9648000,9000,Wakad,Sky Infinity Edge Pool
3,1299,11691000,9000,Tathawde,Pet Park
2,1187,10683000,9000,Chinchwad,Sky Infinity Edge Pool
3,930,8370000,9000,Chinchwad,Sky Infinity Edge Pool
3,990,8910000,9000,Tathawde,Gymnasium
3,1196,10764000,9000,Moshi,Gymnasium
3,1435,12915000,9000,Punawale,Pet Park
4,828,7452000,9000,Moshi,Palm Court
3,1483,13347000,9000,Ravet,Gymnasium
3,1255,11295000,9000,Ravet,Palm Court
4,1265,11385000,9000,Wakad,Kids Play Area
2,1170,10530000,9000,Tathawde,Gymnasium
3,817,7353000,9000,Tathawde,Sky Infinity Edge Pool
3,1465,13185000,9000,Chinchwad,Pet Park
3,833,7497000,9000,Ravet,Kids Play Area
4,1025,9225000,9000,Moshi,Sky Infinity Edge Pool
3,1160,10440000,9000,Ravet,Sky Infinity Edge Pool
2,1358,12222000,9000,Tathawde,Sky Infinity Edge Pool
2,1233,11097000,9000,Ravet,Palm Court
4,1078,9702000,9000,Wakad,Captivating Spa
4,822,7398000,9000,Ravet,Kids Play Area
3,1021,9189000,9000,Tathawde,Mini Restaurant
4,1072,9648000,9000,Ravet,Kids Play Area
4,1404,12636000,9000,Punawale,Captivating Spa
3,1079,9711000,9000,Wakad,Kids Play Area
3,1276,11484000,9000,Moshi,Sky Infinity Edge Pool
3,1248,11232000,9000,Tathawde,Mini Restaurant
4,1454,13086000,9000,Tathawde,Captivating Spa
2,1311,11799000,9000,Ravet,Palm Court
2,1342,12078000,9000,Moshi,Private Screening Arena
